SPDES Permit Number,Outfall Number,CSO Identification Number,Facility Name,Facility Owner Name,Receiving Waterbody Name,Number of Permitted Outfalls,Discharge Activation Type,Number of Overflow Events,Timeframe of Overflow Events Information,Data as of,Link to Real-time Information,DEC Region,County,Latitude,Longtitude,Location 1,NYS Municipal Boundaries,New York Zip Codes,Counties
NY0099309,10,NY0099309-010,Troy CSO,City of Troy,Hudson River,49,Model,57,5 year average,2015,,4,Rensselaer,42.776389,-73.678333,"{'latitude': '42.776389', 'longitude': '-73.678333'}",110,12,2138
NY0031194,12,NY0031194-012,Massena WWTP,Village of Massena,Raquette River,9,Monitoring,0,2013,2015,,6,St. Lawrence,44.914444,-74.893056,"{'latitude': '44.914444', 'longitude': '-74.893056'}",321,1585,2140
NY0035742,7,NY0035742-007,Chemung County-Elmira S.D. STP,Chemung County-Elmira Sewer District,Chemung River,11,Observation,12,2013,2015,,8,Chemung,42.088889,-76.786111,"{'latitude': '42.088889', 'longitude': '-76.786111'}",485,926,2036
NY0021873,005B,NY0021873-005B,Medina WWTP,Village of Medina,Erie Barge Canal,13,Observation,Average of <4 overflows annually,No Data,2015,,8,Orleans,43.220556,-78.405278,"{'latitude': '43.220556', 'longitude': '-78.405278'}",500,934,626
NY0027081,29,NY0027081-029,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Onondaga Creek,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.048056,-76.1575,"{'latitude': '43.048056', 'longitude': '-76.1575'}",687,711,2132
NY0026221,3,NY0026221-003,NYCDEP - Rockaway WWTP,NYC DEP,Jamaica Bay,10,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.58475,-73.828903,"{'latitude': '40.58475', 'longitude': '-73.828903'}",196,1030,2137
NY0028410,57,NY0028410-057,Bird Island WWTF,Buffalo Sewer Authority,Scajaquada Creek,52,Model,0,Average year,2015,,9,Erie,42.928611,-78.897778,"{'latitude': '42.928611', 'longitude': '-78.897778'}",300,63,2041
NY0026107,29,NY0026107-029,NYCDEP - Port Richmond WPCF,NYC DEP,Newark Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Richmond,40.640724,-74.139267,"{'latitude': '40.640724', 'longitude': '-74.139267'}",585,605,
NY0026131,66,NY0026131-066,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.807988,-73.931844,"{'latitude': '40.807988', 'longitude': '-73.931844'}",749,647,2095
NY0026336,5,NY0026336-005,Niagara Falls WWTP,Niagara Falls Water Board,Niagara River,9,Observation,No Data,No Data,2015,,9,Niagara,43.093889,-79.063333,"{'latitude': '43.093889', 'longitude': '-79.063333'}",159,167,2131
